"PHIE","logk","VOL_WETCLAY","SWE","rocktype"
0.312874,3.5237,0.045319,0.0496,5
0.31537,3.583,0.037701,0.0585,5
0.320188,3.677,0.02854,0.0634,5
0.325595,3.796,0.017707,0.0633,5
0.326866,3.7967,0.019403,0.0658,5
0.323276,3.7182,0.026532,0.07,5
0.318633,3.6018,0.040513,0.0694,5
0.323273,3.6532,0.039162,0.0707,5
0.324811,3.6564,0.041688,0.078,5
0.323369,3.6472,0.040652,0.0956,5
0.310556,3.4499,0.057765,0.1235,5
0.305607,3.3909,0.060348,0.1465,5
0.30445,3.3596,0.065692,0.1584,5
0.308971,3.4433,0.055432,0.1732,5
0.299267,3.2953,0.069139,0.1799,5
0.276588,2.9542,0.103186,0.2166,5
0.237274,2.2893,0.201627,0.2822,5
0.274901,2.7195,0.191911,0.4526,5
0.308356,3.268,0.106659,0.3478,5
0.314511,3.3921,0.085525,0.2578,5
0.313635,3.3967,0.081417,0.2559,5
0.30284,3.2425,0.096545,0.2828,5
0.288011,2.9968,0.131094,0.301,5
0.265336,2.6149,0.193437,0.373,5
0.263411,2.5665,0.206802,0.424,5
0.277161,2.7874,0.171613,0.4674,5
0.29585,3.0997,0.122294,0.4719,5
0.310119,3.3839,0.074832,0.3118,3
0.304442,3.2729,0.091768,0.2189,3
0.29229,3.0443,0.129638,0.2342,3
0.274661,2.7315,0.185156,0.3122,3
0.286959,2.9348,0.151806,0.3211,5
0.296041,3.0862,0.128173,0.2591,5
0.302589,3.1818,0.116991,0.2145,5
0.295274,3.041,0.143012,0.2355,5
0.285232,2.7994,0.205213,0.4483,3
0.305442,3.0915,0.164848,0.2799,3
0.213891,1.9508,0.235422,0.6779,3
0.265998,2.6496,0.180564,0.4646,5
0.282525,2.9799,0.116078,0.4059,1
0.29122,3.1596,0.085308,0.3781,1
0.286231,3.1217,0.081197,0.3506,1
0.269515,2.8656,0.108099,0.3263,1
0.32697,3.6903,0.038853,0.1055,1
0.324933,3.6435,0.04484,0.1092,1
0.324007,3.6228,0.047562,0.1231,1
0.322315,3.5857,0.052535,0.1183,1
0.324643,3.6221,0.049174,0.1193,1
0.330165,3.7408,0.034764,0.111,1
0.33178,3.7536,0.035312,0.098,1
0.332411,3.7121,0.045582,0.1074,1
0.338261,3.8051,0.037397,0.1145,1
0.340374,3.8552,0.031382,0.0997,1
0.341054,3.9014,0.024258,0.0881,1
0.337479,3.8486,0.027551,0.0929,1
0.327728,3.6462,0.050536,0.096,1
0.320035,3.4939,0.071147,0.0997,1
0.32507,3.5965,0.056532,0.1099,1
0.32527,3.6286,0.049073,0.1153,1
0.312992,3.4961,0.052165,0.1136,1
0.285514,3.1068,0.083501,0.2478,1
0.262321,2.7785,0.111761,0.3709,1
0.244654,2.4866,0.150067,0.37,1
0.237322,2.3007,0.19641,0.3572,1
0.250115,2.4662,0.18573,0.3674,1
0.268446,2.7532,0.146819,0.3915,1
0.270014,2.8309,0.122728,0.4014,1
0.253727,2.6274,0.133549,0.3979,1
0.227451,2.2319,0.175938,0.4033,1
0.196004,1.694,0.256297,0.4232,1
0.206748,1.8822,0.226501,0.7494,1
0.17345,1.3579,0.282505,0.8605,1
0.1829,1.5005,0.271577,0.8687,1
0.197972,1.7289,0.250602,0.7028,1
0.331588,3.5607,0.084574,0.4977,1
0.203452,1.8724,0.211255,0.6585,1
0.187946,1.6155,0.243975,0.728,1
0.240387,2.396,0.16849,0.5285,1
0.282491,2.9746,0.117902,0.2893,1
0.310902,3.3601,0.084409,0.1988,5
0.320745,3.5263,0.064008,0.154,4
0.314401,3.4525,0.067258,0.1709,4
0.303059,3.278,0.085697,0.246,4
0.309144,3.3645,0.077741,0.3682,4
0.323601,3.5596,0.062493,0.2798,4
0.324301,3.5204,0.075484,0.1094,4
